district,pct_change
Abbottabad,-0.00412504
Attock,-0.006514773
Awaran,-0.024847926
Badin,-0.051783588
Bahawalnagar,0.077361869
Bahawalpur,-0.026612263
Bannu,0.046721199
Barkhan,0.038266448
Batagram,0.06279584
Bhakkar,0.140814339
BolanKachhi,-0.073483058
Bonair,0.042225753
Chagai,-0.002839274
Chakwal,0.211892902
Charsada,-0.060303901
Chitral,0.052680326
D.G.Khan,-0.066336221
D.I.Khan,0.006987598
Dadu,0.077600349
Dera_Bughti,-0.129916809
Faisalabad,0.403355637
Ghotki,-0.0868816
Gujranwala,0.146689639
Gujrat,0.011616163
Gwadar,0.068420671
Hafizabad,0.009976922
Hangu,-0.042349141
Haripur,0.108216222
Harnai,-0.022283217
Hyderabad,0.110156983
Islamabad,-0.105457719
Jacobabad,0.030912325
Jaffarabad,0.039187734
Jamshoro,0.156183731
Jehlum,0.001981391
Jhal Magsi,-0.108501837
Jhang,0.177902017
Kalat,0.108133489
Karachi,-0.027661411
Karak,-0.110925445
Kashmore,0.125663397
Kasur,-0.020290877
KechTurbat,-0.006171508
Khairpur,0.0375636
Khanewal,-0.046734801
Kharan,0.084108954
Khushab,-0.013824146
Khuzdar,0.042897131
Kohat,-0.119604136
Kohistan,0.302004665
Kohlu,0.221661487
Lahore,-0.042751895
Lakki Marwat,0.031959443
Larkana,-0.056207931
Lasbela,0.142802007
Layyah,-0.019536516
Lodhran,-0.000683171
Loralai,0.064477946
Lower Dir,0.027184291
Malakand,0.009743342
Mandi Bahauddin,0.00215202
Mansehra,-0.036666883
Mardan,0.030744995
Mastung,-0.032960681
Matiari,0.063803655
Mianwali,-0.033162241
Mirpurkhas,0.055208942
Multan,-0.000113819
Musa Khel,0.03920624
Muzaffargarh,0.092711252
Nankana Sahib,0.017697983
Narowal,-0.062657279
Nasirabad,0.197409724
Naushahro Feroze,-0.040644764
Nawabshah,0.016140927
Nowshera,-0.031344632
Nushki,0.028026614
Okara,-0.00441424
Pakpattan,-0.014947256
Panjgur,0.071441857
Peshawar,-0.020789745
Pishin,-0.05703553
Qillah Abdullah,0.03495222
Qillah Saifullah,0.120213543
Quetta,-0.05499773
Rahim Yar Khan,-0.03451172
Rajanpur,0.255315166
Rawalpindi,-0.049517112
Sahiwal,-0.029750392
Sanghar,0.051775749
Sarghodha,-0.084641548
Shahdadkot,0.001239253
Shangla,0.010231789
Sheerani,0.137041405
Sheikhupura,-0.05790465
Shikarpur,0.121856615
Sialkot,-0.102911538
Sibbi,0.102721792
Sukkur,-0.035182573
Swabi,0.004101244
Swat,0.074640681
T.T.Singh,-0.087068601
Tando Allah Yar,-0.049102019
Tando Mohammad Khan,0.10926799
Tank,-0.016034351
Tharparkar,0.006658469
Thatta,-0.063492961
Umer kot,0.126272402
Upper Dir,0.04225533
Vehari,0.024074895
Washuk,-0.028101947
Zhob,0.011046506
Ziarat,0.107297265
